id,sarea,station,address,total,lng,lat
1,信義區,捷運市政府站(3號出口),忠孝東路/松仁路(東南側),180,121.5679016,25.04085732
2,大安區,捷運國父紀念館站(2號出口),忠孝東路四段/光復南路口(西南側),48,121.5569458,25.04100037
3,信義區,台北市政府,台北市政府東門(松智路) ,40,121.5651703,25.03779793
4,信義區,市民廣場,市府路/松壽路(西北側) ,60,121.5623245,25.03603554
5,信義區,興雅國中,松仁路/松仁路95巷(東南側),60,121.5686646,25.03656387
6,信義區,世貿二館,松智路/松廉路(東北側) ,80,121.5656586,25.03473663
7,信義區,信義廣場(台北101),松智路/信義路(東北側) ,80,121.5656204,25.03303909
8,信義區,世貿三館,市府路/松壽路(東南側) ,60,121.5636902,25.03521347
9,信義區,松德站,台北市信義區松德路300號,40,121.5743561,25.03158951
10,信義區,台北市災害應變中心,台北市信義區莊敬路391巷11弄2號,54,121.5661163,25.02866173
11,信義區,三張犁,光復南路/基隆路一段364巷,26,121.5576172,25.0349369
12,信義區,臺北醫學大學,台北醫學大學(吳興街220巷59弄),34,121.5617447,25.02667809
13,信義區,福德公園,大道路/福德街路口北西側,66,121.5836716,25.03808975
14,中山區,榮星花園,五常街/龍江路口(西南側),32,121.5403671,25.0642395
15,松山區,饒河夜市,八德路/松信路(西南側),60,121.5718842,25.04984474
16,信義區,松山家商,林口街/福德街(南東側),48,121.5791321,25.03608322
17,松山區,民生光復路口,光復北路/民生東路(西北側),34,121.5550385,25.0583992
18,松山區,社教館,八德路三段25號前,38,121.5522766,25.04826736
19,信義區,中強公園,松仁路153巷17號對面,30,121.569809,25.0286293
20,大安區,捷運科技大樓站,科技大樓站對面(復興南路2段西側),56,121.5432968,25.02589607
21,松山區,民生敦化路口,敦化民生路口公車站旁,66,121.5489807,25.05798531
22,松山區,松山車站,松山車站西出口外自行車格內,44,121.5780945,25.04861641
23,南港區,東新國小,東新國小側門(東明街62號前),32,121.6027985,25.05507469
24,大安區,信義建國路口,信義路三段/建國南路二段(西南側),46,121.5373306,25.03298187
25,信義區,永吉松信路口,松信路/永吉路南西側人行道,30,121.572052,25.04542923
26,南港區,捷運昆陽站(1號出口),捷運昆陽站1號出口外停車場旁,42,121.5923767,25.05014229
27,南港區,捷運南港展覽館站(5號出口),研究院路/市民大道(東北側),26,121.6166916,25.05468941
28,信義區,五常公園,松隆路/虎林街30巷口(西南側),36,121.5746689,25.04813957
29,大安區,金山愛國路口,愛國東路/金山南路(西南側),54,121.5265503,25.0316391
30,大安區,基隆長興路口,基隆路/長興街(東南側),40,121.5443497,25.0170536
31,大安區,辛亥新生路口,辛亥路/新生南路(高架橋下),30,121.5345612,25.02241325
32,大安區,捷運六張犁站,捷運出口外和平東路側,30,121.5531616,25.02388382
33,松山區,中崙高中,八德路四段91巷(中崙高中)旁,46,121.5608673,25.04878044
34,中山區,捷運行天宮站(1號出口),捷運行天宮1號出口後方(松江路側),32,121.5329361,25.05836868
35,中山區,捷運行天宮站(3號出口),捷運行天宮站3號出口站外,30,121.5333023,25.05997849
36,大安區,臺大資訊大樓,辛亥路二段(臺大外語學院外),32,121.5415268,25.02100945
37,大安區,捷運東門站(4號出口),信義路/麗水街口,46,121.5291672,25.03370094
38,大安區,臺灣師範大學(圖書館),和平東路/師大路口(北側),34,121.5288925,25.02664948
39,南港區,南港世貿公園,三重路/經貿二路88巷(東北側),26,121.6142197,25.05800056
40,南港區,玉成公園,玉成街247號前,34,121.5864029,25.04286957
41,南港區,中研公園,研究院路二段12巷/研究院路二段12巷58弄(西南側),30,121.6137085,25.04742432
42,南港區,捷運後山埤站(1號出口),中坡北路/忠孝東路五段(西北側),38,121.5817413,25.04430962
43,南港區,凌雲市場,研究院路三段68巷/凌雲街(東北側),36,121.614151,25.03563881
44,南港區,捷運南港軟體園區站(2號出口),捷運南港軟體園區站2號出口外,36,121.616188,25.05973053
45,大安區,捷運公館站(2號出口),羅斯福路四段/舟山路(東北側),30,121.5345383,25.01475906
46,南港區,南港國小,惠民街/興東街(南側停車場),44,121.6110306,25.05645943
47,大安區,捷運忠孝新生(3號出口),捷運忠孝新生(3號出口),40,121.5338593,25.04192352
48,南港區,南港車站,忠孝東路七段與忠孝東路七段415巷交叉口,38,121.6082001,25.05246925
49,大安區,龍門廣場,忠孝東路/敦化南路(西南側廣場）,52,121.5482483,25.04090118
50,松山區,民權運動公園,民權東路四段/新中街交叉口,52,121.5601883,25.06200218
51,中山區,建國農安街口,建國北路/農安街口(中油旁邊空地),44,121.5367737,25.06503105
52,中山區,建國長春路口,建國北路/長春路口(北側),30,121.5369263,25.05476189
53,中山區,八德市場,建國南路一段/市民大道交叉口(北側) ,26,121.5366058,25.04478073
54,大安區,臺北市立圖書館(總館),建國南路二段/建國南路二段151巷(東北側),30,121.5380707,25.02879715
55,松山區,臺北田徑場,敦化北路3號,46,121.549408,25.04950523
56,中正區,Y-17青少年育樂中心,林森南路/仁愛路一段路口(東北側),42,121.5223312,25.03895378
57,大安區,新生和平路口,新生南路二段/和平東路二段(東北側),46,121.5351868,25.02621651
58,中正區,捷運善導寺站(1號出口),天津街/忠孝東路一段(東北側),48,121.5222015,25.04526711
59,中山區,林森公園,林森北路/南京東路一段,32,121.5258026,25.05222702
60,中山區,中山行政中心,松江路/農安街口,30,121.5334854,25.0643177
61,大安區,台灣科技大學,基隆路四段/基隆路四段73巷交叉口,46,121.5397263,25.01309967
62,中正區,南昌公園,和平西路一段/南昌路,34,121.520256,25.02682686
63,大安區,仁愛醫院,大安路一段/仁愛路四段,36,121.5456314,25.03756905
64,中正區,國家圖書館,中山南路/貴陽街口(西南側),50,121.5170288,25.03777313
65,萬華區,青年公園3號出口,青年路/青年路106巷(東側),38,121.5027084,25.02272415
66,文山區,師範大學公館校區,師大公館校區校門口(汀州路側),42,121.5371857,25.00752831
67,中正區,捷運臺大醫院(4號出口),公園路/襄陽路(西南側),48,121.5164261,25.04297256
68,萬華區,國興青年路口,國興路/青年路(西南側),36,121.5065384,25.02586555
69,文山區,興豐公園,興隆路二段123巷/興隆路二段(西北側),34,121.5477753,24.99983788
70,信義區,捷運台北101/世貿站,莊敬路/信義線五段(東南側),52,121.5616455,25.03275108
71,大安區,捷運信義安和站,通化街/信義路四段(西南側),30,121.5542068,25.03298569
72,中山區,新生長安路口,新生北路一段/長安東路二段交叉口(北側),42,121.5293427,25.04861069
73,大同區,酒泉延平路口,延平北路四段/酒泉街(西北側),32,121.5101929,25.07222748
74,中正區,信義連雲街口,信義路二段/連雲街(東北側),40,121.5305481,25.03381729
75,信義區,基隆光復路口,基隆路二段/光復南路(東北側),30,121.5578384,25.03005409
76,中山區,新生長春路口,新生北路二段/新生北路二段68巷交叉口(新生橋下),36,121.5275192,25.05638695
77,松山區,民生活動中心,民生東路五段/三民路口(西北側),32,121.562973,25.05914688
78,大同區,捷運圓山站(2號出口),承德路三段/庫倫街(東南側),52,121.5192871,25.07182312
79,大同區,捷運民權西路站(3號出口),民權西路70巷37號對面,50,121.5202026,25.06128502
80,萬華區,華江高中,東園街/東園街35巷(東北側),44,121.4958725,25.02750969
81,大安區,捷運台電大樓站(2號出口),羅斯福路/辛亥路交叉口(古亭國小前),40,121.5285492,25.02054787
82,中正區,捷運西門站(3號出口),中華路一段/寶慶路(東南側),60,121.5086899,25.04177856
83,大安區,捷運大安森林公園站,信義路三段31巷/信義路三段(南側),74,121.5351639,25.03315544
84,萬華區,復華花園新城,西藏路115號/西藏路(東南側),38,121.5028992,25.02970505
85,大安區,信義敦化路口,信義路四段/敦化南路一段(東北側),46,121.5491104,25.03336143
86,松山區,民權復興路口,復興北路/民權東路三段(東北側),46,121.5451355,25.0623436
87,大安區,捷運大安站,復興南路/信義路三段(西南側),58,121.5430603,25.03307724
88,信義區,捷運象山站,信義路五段/信義路五段91巷(西北側),58,121.5712738,25.03283501
89,中正區,和平重慶路口,重慶南路三段/和平西路一段(東北側),44,121.5163879,25.02732277
90,萬華區,老松國小,康定路/桂林路(東南側),44,121.501709,25.03778267
91,中山區,市立美術館,中山北路三段/酒泉街(西南側),36,121.5232697,25.07062912
92,萬華區,開封西寧路口,開封街二段/西寧南路(東北側),42,121.5071716,25.04661751
93,信義區,吳興公車總站,松仁路/吳興街交叉口,56,121.5698395,25.02387619
94,文山區,捷運景美站,羅斯福路六段/景中街交叉口(東北側),52,121.5410614,24.99325371
95,萬華區,東園國小,東園街/萬大路344巷(東南側),32,121.4976807,25.02339363
96,松山區,三民公園,撫遠街/富錦街(東南側),30,121.5665588,25.06156731
97,士林區,捷運劍潭站(2號出口),基河路18號對面,52,121.5247192,25.08282471
98,文山區,羅斯福景隆街口,羅斯福路六段/景隆街交叉口(東南側),48,121.5401993,24.9993782
99,大同區,捷運雙連站(2號出口),民生西路/萬全街(東北側),42,121.5207138,25.05786514
100,中正區,金山市民路口,金山北路/市民大道三段(南側),40,121.5307007,25.04575348
101,中正區,華山文創園區,忠孝東路二段41號前,50,121.5284882,25.04366875
102,中正區,臺北市客家文化主題公園,師大路/汀州路交叉口,32,121.525322,25.02042961
103,萬華區,萬大興寧街口,萬大路/興寧街(西南側),52,121.500473,25.03197479
104,文山區,台北花木批發市場,萬盛街/興隆路一段(西北側),38,121.540741,25.0040226
105,萬華區,峨嵋停車場,昆明街/西寧南路50巷(東南側),42,121.5054092,25.04441261
106,萬華區,西園艋舺路口,西園路二段/艋舺大道(西南側),44,121.497673,25.03293228
107,中正區,捷運小南門站(1號出口),博愛路/愛國西路交叉口(西北側),54,121.5094223,25.03640175
108,大同區,臺北孔廟,哈密街59巷/哈密街(東北側),32,121.5158463,25.07330513
109,中山區,林安泰古厝,吉林路/民族東路(北側),36,121.5308075,25.07160568
110,內湖區,文湖國小,文湖街21巷/文湖街(東北側),44,121.5608902,25.08637619
111,大安區,捷運忠孝復興站(2號出口),復興南路一段/仁愛路三段123巷13弄(西北側),54,121.5434952,25.04018402
112,北投區,捷運新北投站,大業路/中和街交叉口,48,121.5031204,25.13745689
113,信義區,仁愛逸仙路口,仁愛路四段/逸仙路(西北側),38,121.5611801,25.03772354
114,士林區,蘭雅公園,忠誠路二段/忠誠路二段40巷(西南側),30,121.5303879,25.10990715
115,中正區,臺北轉運站,中山北路一段/市民大道一段(西北側),68,121.5205231,25.04822159
116,士林區,福林公園,志成街/中正路(南側),44,121.5302124,25.09612274
117,北投區,捷運北投站,光明路2 巷/光明路交叉口,58,121.4986191,25.13258171
118,北投區,大業大同街口,大業路/大同街口,36,121.4991531,25.13692856
119,中山區,捷運劍南路站(2號出口),敬業二路/植福路(東北側),56,121.5551147,25.08418083
120,萬華區,捷運龍山寺站(1號出口),和平西路三段/和平西路三段109巷(西北側),46,121.5002594,25.03547859
121,中山區,龍江南京路口,龍江路110號對面停車場,66,121.5405655,25.05298042
122,內湖區,捷運港墘站(2號出口),內湖路一段/港墘路(東南側),50,121.5754547,25.0796814
123,士林區,天母運動公園,忠誠路二段/忠誠路二段207巷(東南側),44,121.5341339,25.11632538
124,北投區,振華公園,振華街36號對面,36,121.5181656,25.1158638
125,萬華區,華西公園,華西街/桂林路(東北側),30,121.498497,25.03860855
126,大安區,敦化基隆路口,敦化南路二段/基隆路二段交叉口,30,121.5483322,25.02207375
127,內湖區,東湖國中,康樂街/康樂街125巷(東南側),40,121.6195221,25.07327652
128,大安區,成功國宅,四維路198巷/和平東路三段1巷,36,121.5467224,25.02680779
129,內湖區,捷運文德站(2號出口),文德路220巷/文德路(西南側),50,121.5852661,25.07829285
130,中正區,羅斯福寧波東街口,羅斯福路一段/寧波東街(東南側),26,121.5194092,25.03144455
131,內湖區,洲子二號公園,瑞光路500號對面,34,121.5686874,25.07932281
132,大安區,羅斯福新生南路口,羅斯福路四段/新生南路三段交叉口,88,121.5331726,25.01603127
133,士林區,蘭興公園,中山北路六段/士東路(西北側),40,121.5258865,25.11183929
134,士林區,捷運芝山站(2號出口),福華路/福華路162巷(東南側),64,121.5226288,25.10335922
135,北投區,捷運石牌站(2號出口),東華街一段/裕民二路(西側) ,54,121.5156784,25.1145134
136,北投區,國立臺北護理健康大學,石牌路二段130巷/石牌路二段(東南側),30,121.5175095,25.11804962
137,北投區,國防大學,中央北路二段/豐年路二段交叉口,46,121.4930649,25.13797569
138,信義區,捷運永春站(2號出口),忠孝東路五段420號旁(東側巷道上),30,121.5753708,25.04055786
139,大同區,永樂市場,民樂街/南京西路233巷(西北側),30,121.5105515,25.05450058
140,大同區,捷運大橋頭站(2號出口),民權西路/重慶北路三段(東北側),46,121.5129089,25.06340408
141,文山區,文山行政中心,木柵路三段220號前,36,121.5699844,24.9899025
142,文山區,捷運木柵站,木柵路四段82巷18號前(捷運橋樑下),52,121.5742111,24.99774742
143,文山區,捷運動物園站(2號出口),新光路二段28號前,72,121.5787506,24.99765968
144,文山區,國立政治大學,萬壽路16巷6號前,70,121.5765381,24.98836327
145,大同區,樹德公園,大龍街/大龍街85巷(東北側),40,121.5161514,25.06668854
146,士林區,捷運士林站(2號出口),中正路247巷/中山北路五段505巷(東南側),46,121.5265579,25.09254646
147,士林區,士林運動中心,承德路四段/大南路(東北側),32,121.5218124,25.08917427
148,北投區,捷運明德站,致遠一路一段46巷/西安街一段(東南側),68,121.5183182,25.11033058
149,北投區,北投運動中心,石牌路一段39巷100號前,62,121.5096207,25.11666489
150,信義區,松德公園,松德路168巷20號前,38,121.5734329,25.03656769
151,文山區,考試院,試院路(雙號)/木柵路一段(東北側),34,121.5498276,24.98750687
152,士林區,百齡國小,前港街100巷/前港街(北方),40,121.5191727,25.0852108
153,大同區,蔣渭水紀念公園,錦西街51號對面,40,121.5162964,25.05988503
154,士林區,中正基河路口,中正路420號前,38,121.5198669,25.09339523
155,內湖區,瑞光港墘路口,瑞光路/港墘路(西南側),30,121.5750504,25.07619286
156,內湖區,東湖國小,東湖路/東湖路119巷(西北側),38,121.6159363,25.06840897
157,內湖區,麗山國小,內湖路一段411巷/內湖路一段411巷19弄(東北側),42,121.5714645,25.08270264
158,內湖區,捷運東湖站,安康路315巷/五分街14巷(西側),48,121.6135025,25.06663513
159,內湖區,捷運西湖站(1號出口),環山路一段9巷/內湖路一段285巷(西南側),36,121.5666962,25.08286667
160,大同區,捷運中山站(2號出口),南京西路/南京西路25巷(東北側),30,121.5202866,25.05308151
161,北投區,大豐公園,磺港路/大興街(東北側),56,121.5037689,25.13114357
162,中山區,捷運中山國小站(4號出口),民權東路一段/新生北路三段(北側)(新生高架橋下),70,121.5277176,25.06292343
163,大安區,捷運麟光站2號出口,和平東路三段/和平東路三段416巷(捷運高架橋下),72,121.5592804,25.01809692
164,北投區,捷運奇岩站,北投路一段/三合街二段(東北側),56,121.5008011,25.12628555
165,北投區,捷運唭哩岸站(2號出口),西安街二段/立農街一段257巷,62,121.5056915,25.12078857
166,文山區,臺北市立景美女中,木新路三段/一壽街(西北側),34,121.5561752,24.98060226
167,中正區,河堤國小,金門街12巷23弄1號旁,44,121.5228577,25.02288055
168,新店區,大鵬華城,新北市新店區中正路700巷3號,38,121.5339813,24.99115944
169,汐止區,汐止火車站,南昌街/新昌路口(西側廣場),56,121.6627502,25.06891441
170,汐止區,汐止區公所,新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場),46,121.6583023,25.0641613
171,汐止區,國泰綜合醫院,建成路78號對面停車場,40,121.6625519,25.07315063
172,新店區,裕隆公園,寶中路/品牌路口(東南側),40,121.5463181,24.97964859
173,新店區,捷運大坪林站,寶安街/寶安街58巷(西北側),32,121.5417175,24.98397636
174,汐止區,汐科火車站(北),大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前),34,121.6530228,25.06410599
175,三重區,興華公園,重陽路一段120巷/中華路2巷,40,121.4831009,25.06012535
176,三重區,三重國民運動中心,集美街/重新路四段184巷,68,121.4884872,25.05439186
177,三重區,捷運三重站3號出口,捷運路/捷運路37巷,34,121.4847412,25.05588341
178,汐止區,樟樹國小,樟樹二路/樟樹一路141巷,48,121.6403656,25.06668854
179,汐止區,白雲國小,民權街二段90號,46,121.6188889,25.04757881
